	MeanVip	StdVip	MinVipLimitCI95	MaxVipLimitCI95	MeanRegCoefGroup:Group:A	MeanRegCoefGroup:Group:B	MeanRegCoefGroup:Group:C	MeanRegCoefGroup:Group:D	MeanRegCoefGroup:Group:E	StdRegCoefGroup:Group:A	StdRegCoefGroup:Group:B	StdRegCoefGroup:Group:C	StdRegCoefGroup:Group:D	StdRegCoefGroup:Group:E	CorrelationGroup:Group:A	CorrelationGroup:Group:B	CorrelationGroup:Group:C	CorrelationGroup:Group:D	CorrelationGroup:Group:E	CorrelationPvalueGroup:Group:A	CorrelationPvalueGroup:Group:B	CorrelationPvalueGroup:Group:C	CorrelationPvalueGroup:Group:D	CorrelationPvalueGroup:Group:E
Creatine	9.449299845e-01	5.586449517e-04	9.438350404e-01	9.460249286e-01	1.107031995e-01	-1.161348878e-01	1.969714567e-01	-8.226907421e-02	-1.092706942e-01	5.679619159e-03	3.284189966e-03	1.339345995e-03	7.137170914e-03	8.162354293e-03	4.095650086e-01	-4.453236291e-01	8.816417068e-02	-1.739874293e-01	1.215818791e-01	2.460266715e-02	1.366001339e-02	6.431636568e-01	3.578259397e-01	5.221621483e-01
Methionine	9.005195967e-01	7.281476900e-03	8.862479020e-01	9.147912914e-01	-3.478725360e-02	-1.618434764e-02	1.799728803e-01	-1.984533389e-01	6.945205987e-02	8.876651885e-03	1.893304976e-03	1.595310827e-02	1.672295292e-02	1.153908242e-02	5.386257708e-01	-2.553589346e-01	-2.724799825e-01	-4.793691362e-01	4.685822826e-01	2.135247145e-03	1.732192045e-01	1.451860326e-01	7.354735683e-03	9.008245860e-03
Taurine	8.991664705e-01	2.799169186e-04	8.986178334e-01	8.997151077e-01	-3.220795100e-02	1.708324117e-01	-1.739850435e-01	-3.854143684e-02	7.390201958e-02	2.726351411e-03	4.469644888e-03	1.155222354e-02	5.213493636e-03	4.606225858e-03	-2.258532877e-01	3.137635853e-01	-1.044729939e-02	5.545846735e-02	-1.329214655e-01	2.301132142e-01	9.132063782e-02	9.563040750e-01	7.709936820e-01	4.837886705e-01
Glucose	8.975319365e-01	1.675154238e-03	8.942486342e-01	9.008152388e-01	1.335624518e-01	1.595705344e-01	-1.375770035e-01	-6.842129515e-02	-8.713468766e-02	8.185675172e-03	1.936779336e-03	8.364650330e-03	1.213710372e-02	1.002949967e-02	7.717003100e-01	-3.157804794e-01	-4.104049035e-01	-3.870974042e-01	3.415824771e-01	5.945820373e-07	8.914673148e-02	2.428139203e-02	3.457440748e-02	6.468383960e-02
Glucose_1_phosphate	8.939045138e-01	1.997975133e-03	8.899884826e-01	8.978205451e-01	-1.419247812e-01	5.488350324e-02	-9.047974298e-02	-2.332883606e-02	2.008498570e-01	3.503816094e-03	6.262070630e-03	8.632609217e-04	7.203776807e-03	5.308695827e-03	2.704500410e-01	-2.868420949e-01	-2.868420949e-01	-2.868420949e-01	5.900762438e-01	1.483261107e-01	1.243323033e-01	1.243323033e-01	1.243323033e-01	5.988294915e-04
Ascorbat	8.756577338e-01	1.355356978e-02	8.490927370e-01	9.022227305e-01	-2.027888840e-03	-9.604193384e-02	2.881804495e-01	-1.427427683e-01	-4.736785859e-02	6.590381081e-03	4.253659888e-03	4.556076890e-03	1.056029703e-02	8.340950298e-03	-1.661762682e-01	8.746085821e-03	2.084098689e-01	2.069465963e-01	-2.579262828e-01	3.801420761e-01	9.634142415e-01	2.690754604e-01	2.725273296e-01	1.687887108e-01
Malate	8.699558635e-01	7.791566987e-04	8.684287163e-01	8.714830106e-01	-9.227241671e-02	5.039106742e-03	5.419357308e-02	-1.129485756e-01	1.459883125e-01	2.296242301e-03	4.849979886e-03	3.157491916e-03	1.592342851e-03	2.196250550e-03	3.636664046e-01	-4.002429585e-01	-4.090748070e-01	-2.826367171e-01	7.282880781e-01	4.821417687e-02	2.840782642e-02	2.479178063e-02	1.301948846e-01	5.061644338e-06
NAD_	8.684922524e-01	3.734368653e-03	8.611728899e-01	8.758116150e-01	-6.965765140e-03	-1.306101220e-01	1.591808594e-01	4.449373374e-02	-6.609870598e-02	4.795598231e-03	3.748849447e-04	3.928060920e-03	5.765071030e-03	6.258620622e-03	-5.960183506e-01	2.776312198e-01	4.436011171e-01	4.708043644e-01	-5.960183506e-01	5.099227798e-04	1.374341615e-01	1.407236655e-02	8.644147120e-03	5.099227798e-04
Histidine	8.447402488e-01	2.931663100e-03	8.389941891e-01	8.504863084e-01	-3.971604852e-02	-2.192900194e-01	4.043603262e-02	1.793713321e-01	3.919870319e-02	4.118322105e-04	9.572910677e-04	6.092367150e-03	6.948821234e-03	2.222328470e-03	3.563566106e-01	-4.751487385e-01	-2.606531596e-01	-1.400309442e-01	5.194762317e-01	5.324817978e-02	7.968107428e-03	1.641715721e-01	4.604907389e-01	3.262284056e-03
Formate	8.362379486e-01	3.701613152e-03	8.289827868e-01	8.434931104e-01	-1.356934404e-02	4.635913140e-02	-1.099437646e-01	-1.485303701e-02	9.200701424e-02	6.327242179e-03	5.956158368e-03	1.821499240e-02	1.536927595e-02	9.437417356e-03	4.936153426e-01	-2.734138747e-01	-4.704672982e-01	-3.552965967e-01	6.055624269e-01	5.570829031e-03	1.437576888e-01	8.698564017e-03	5.401139235e-02	3.912971575e-04
