	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Lactate	7.727407112e-07	6.111966207e+00	-1.101768237e+01	1.101768237e+01	3.731831979e-01	-1.422044063e+00
Acetate	8.299360881e-04	3.080955351e+00	-5.216064455e+00	5.216064455e+00	6.321814872e-01	-6.615893068e-01
UDP_glucose	7.650576331e-03	2.116305847e+00	3.448405901e+00	3.448405901e+00	1.740342886e+00	7.993715771e-01
IMP	1.275103550e-02	1.894454545e+00	-3.048021272e+00	3.048021272e+00	5.899872023e-01	-7.612444343e-01
Glucose	1.508524978e-02	1.821447494e+00	-2.941494483e+00	2.941494483e+00	7.253446971e-01	-4.632613416e-01
Alanine	2.712450054e-02	1.566638250e+00	-2.772212765e+00	2.772212765e+00	7.452133497e-01	-4.242745760e-01
Glutamate	2.821413081e-02	1.549533324e+00	2.773612952e+00	2.773612952e+00	1.678729030e+00	7.473693779e-01
Tyrosine	2.835939637e-02	1.547303017e+00	-2.666314590e+00	2.666314590e+00	8.060213751e-01	-3.111099964e-01
Aspartate	3.974185067e-02	1.400751913e+00	2.518140770e+00	2.518140770e+00	1.928883880e+00	9.477662951e-01
