	MSEE_X
PC1	5.611964088e-01
PC2	4.065840890e-01
PC3	2.927876868e-01
PC4	2.364809544e-01
PC5	1.979655811e-01
PC6	1.645509762e-01
PC7	1.275162975e-01
PC8	1.124593719e-01
PC9	8.431498989e-02
PC10	6.556098149e-02
