	MSEP_X
PC1	5.674055975e-01
PC2	4.146980449e-01
PC3	3.038595900e-01
PC4	2.476744258e-01
PC5	2.098514666e-01
PC6	1.747524360e-01
PC7	1.387436292e-01
PC8	1.228302759e-01
PC9	9.428429770e-02
PC10	7.434080663e-02
