	MSEP_Y
PC1	3.435245019e-01
PC2	3.056583406e-01
PC3	2.929431676e-01
PC4	2.869036679e-01
PC5	2.779410540e-01
PC6	2.699713571e-01
PC7	2.663947777e-01
PC8	2.629699766e-01
PC9	2.584635964e-01
PC10	2.581071684e-01
