	AdjR2X
PC1	4.277207178e-01
PC2	5.853864227e-01
PC3	7.014301506e-01
PC4	7.588488652e-01
PC5	7.981248652e-01
PC6	8.321993636e-01
PC7	8.699654273e-01
PC8	8.853197069e-01
PC9	9.140199026e-01
PC10	9.331442774e-01
