	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	8.393130603e-01	4.150567738e-01	1.836501398e-02
Group:versicolor	5.517438542e-05	8.296993735e-01	3.934182426e-01
Group:virginica	4.951197001e-08	6.418984140e-01	8.297775092e-01
