	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	1.086940617e-01	1.873019124e-01	9.645274330e-02
Group:versicolor	8.273049830e-02	1.641193491e-01	1.473742763e-01
Group:virginica	9.642802700e-02	2.243769602e-01	1.864112931e-01
