	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	1.946566635e-01	2.990691960e-01	2.189678345e-02
Group:versicolor	1.449167515e-04	1.785583952e-01	2.380746087e-01
Group:virginica	1.206659762e-07	3.119698752e-01	1.806736675e-01
