	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	9.386737459e-01	1.495936376e-01	-8.826738348e-02
Group:versicolor	1.496111287e-01	5.076820813e-01	3.427067900e-01
Group:virginica	-8.828487460e-02	3.427242811e-01	7.455605935e-01
