	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:A	6.770298132e-02	1.127904004e-01	9.758586265e-02	1.057749509e-01	8.376521007e-02
Group:Group:B	9.903807925e-02	1.508581137e-01	1.931579062e-01	2.144718553e-01	1.232564272e-01
Group:Group:C	8.003633620e-02	2.297658085e-01	1.623540416e-01	1.809881281e-01	7.830739353e-02
Group:Group:D	1.190024404e-01	1.641683083e-01	2.229632906e-01	1.705864447e-01	1.312005769e-01
Group:Group:E	7.697536206e-02	7.373297069e-02	1.494709018e-01	1.333848124e-01	7.718351350e-02
