	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:A	8.360699307e-01	1.950375775e-03	7.718120282e-03	6.493257131e-03	9.340764599e-12
Group:Group:B	7.483942788e-18	8.345694433e-01	4.418430015e-02	2.587986269e-02	5.723004645e-10
Group:Group:C	2.237015838e-16	3.021561196e-02	8.323072115e-01	4.339840545e-02	1.393371485e-13
Group:Group:D	3.218689571e-15	4.495346534e-03	7.148463303e-02	8.562903082e-01	3.548885774e-11
Group:Group:E	6.578395441e-16	1.049326224e-03	8.261736050e-03	1.351626623e-02	8.418031790e-01
