	R2X
PC1	5.583064983e-01
PC2	6.433937869e-01
PC3	6.948906143e-01
PC4	7.408126043e-01
PC5	7.702690654e-01
PC6	8.007669246e-01
PC7	8.329086345e-01
PC8	8.617022422e-01
PC9	8.831381053e-01
PC10	8.977552792e-01
