	Q2X
PC1	5.204689521e-01
PC2	5.718324948e-01
PC3	5.965909952e-01
PC4	6.283580099e-01
PC5	6.394060899e-01
PC6	6.548898094e-01
PC7	6.782248982e-01
PC8	7.030906959e-01
PC9	7.130650993e-01
PC10	7.225247951e-01
