	MSEE_X
PC1	7.298637762e-01
PC2	5.529827249e-01
PC3	3.832188532e-01
PC4	2.634292689e-01
PC5	2.002376512e-01
PC6	1.612401909e-01
PC7	1.321166052e-01
PC8	1.105988242e-01
PC9	9.733121114e-02
PC10	8.028671834e-02
