	Group:setosa	Group:versicolor	Group:virginica
SepalLength	1.156001938e-01	-3.528362879e-02	-8.031656501e-02
SepalWidth	2.237903424e-01	-4.106464431e-01	1.868561007e-01
PetalLength	-8.384786872e-01	8.235947679e-01	1.488391929e-02
PetalWidth	-9.262025870e-02	-7.966004995e-01	8.892207582e-01
