	MSEE_X
PC1	3.390996949e-01
PC2	2.959615342e-01
PC3	2.809327763e-01
PC4	2.684654753e-01
PC5	2.561903677e-01
PC6	2.482262184e-01
PC7	2.434085695e-01
PC8	2.382583941e-01
PC9	2.360391558e-01
PC10	2.341408867e-01
