	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
PetalWidth	2.111534401e-25	2.467540184e+01	-1.462536705e+01	1.462536705e+01	6.544916091e-01	-6.115533987e-01
PetalLength	4.900287527e-22	2.130977844e+01	-1.260377944e+01	1.260377944e+01	7.672910663e-01	-3.821541375e-01
SepalLength	1.866144387e-07	6.729054757e+00	-5.629165260e+00	5.629165260e+00	9.010321797e-01	-1.503494631e-01
SepalWidth	1.819483482e-03	2.740051883e+00	-3.205760750e+00	3.205760750e+00	9.314055145e-01	-1.025186711e-01
